perturbation_label	drug_name
[('Budesonide', 0.5, 'uM')]	Budesonide
[('Budesonide', 5.0, 'uM')]	Budesonide
[('Busulfan', 0.05, 'uM')]	Busulfan
[('Busulfan', 0.5, 'uM')]	Busulfan
[('Busulfan', 5.0, 'uM')]	Busulfan
[('CP21R7', 0.05, 'uM')]	CP21R7
[('CP21R7', 0.5, 'uM')]	CP21R7
[('CP21R7', 5.0, 'uM')]	CP21R7
[('Cabozantinib (S-malate)', 0.05, 'uM')]	Cabozantinib (S-malate)
[('Cabozantinib (S-malate)', 0.5, 'uM')]	Cabozantinib (S-malate)
[('Cabozantinib (S-malate)', 5.0, 'uM')]	Cabozantinib (S-malate)
[('Canagliflozin (hemihydrate)', 0.05, 'uM')]	Canagliflozin (hemihydrate)
[('Canagliflozin (hemihydrate)', 0.5, 'uM')]	Canagliflozin (hemihydrate)
[('Canagliflozin (hemihydrate)', 5.0, 'uM')]	Canagliflozin (hemihydrate)
[('Canagliflozin', 0.05, 'uM')]	Canagliflozin
[('Canagliflozin', 0.5, 'uM')]	Canagliflozin
[('Canagliflozin', 5.0, 'uM')]	Canagliflozin
[('Capivasertib', 0.05, 'uM')]	Capivasertib
[('Capivasertib', 0.5, 'uM')]	Capivasertib
[('Capivasertib', 5.0, 'uM')]	Capivasertib
[('Capmatinib', 0.05, 'uM')]	Capmatinib
[('Capmatinib', 0.5, 'uM')]	Capmatinib
[('Capmatinib', 5.0, 'uM')]	Capmatinib
[('Captopril', 0.05, 'uM')]	Captopril
[('Captopril', 0.5, 'uM')]	Captopril
[('Captopril', 5.0, 'uM')]	Captopril
[('Carbamazepine', 0.05, 'uM')]	Carbamazepine
[('Carbamazepine', 0.5, 'uM')]	Carbamazepine
[('Carbamazepine', 5.0, 'uM')]	Carbamazepine
[('Carbidopa (monohydrate)', 0.05, 'uM')]	Carbidopa (monohydrate)
[('Carbidopa (monohydrate)', 0.5, 'uM')]	Carbidopa (monohydrate)
[('Carbidopa (monohydrate)', 5.0, 'uM')]	Carbidopa (monohydrate)
[('Celecoxib', 0.05, 'uM')]	Celecoxib
[('Celecoxib', 0.5, 'uM')]	Celecoxib
[('Celecoxib', 5.0, 'uM')]	Celecoxib
[('Cepharanthine', 0.05, 'uM')]	Cepharanthine
[('Cepharanthine', 0.5, 'uM')]	Cepharanthine
[('Cepharanthine', 5.0, 'uM')]	Cepharanthine
[('Chlorhexidine (diacetate)', 0.05, 'uM')]	Chlorhexidine (diacetate)
[('Chlorhexidine (diacetate)', 0.5, 'uM')]	Chlorhexidine (diacetate)
[('Chlorhexidine (diacetate)', 5.0, 'uM')]	Chlorhexidine (diacetate)
[('Ciclopirox', 0.05, 'uM')]	Ciclopirox
[('Ciclopirox', 0.5, 'uM')]	Ciclopirox
[('Ciclopirox', 5.0, 'uM')]	Ciclopirox
[('Cilostazol', 0.05, 'uM')]	Cilostazol
[('Cilostazol', 0.5, 'uM')]	Cilostazol
[('Cilostazol', 5.0, 'uM')]	Cilostazol
[('Cinacalcet', 0.05, 'uM')]	Cinacalcet
[('Cinacalcet', 0.5, 'uM')]	Cinacalcet
[('Cinacalcet', 5.0, 'uM')]	Cinacalcet
[('Citalopram (hydrobromide)', 0.05, 'uM')]	Citalopram (hydrobromide)
[('Citalopram (hydrobromide)', 0.5, 'uM')]	Citalopram (hydrobromide)
[('Citalopram (hydrobromide)', 5.0, 'uM')]	Citalopram (hydrobromide)
[('Clobetasol propionate', 0.05, 'uM')]	Clobetasol propionate
[('Clobetasol propionate', 0.5, 'uM')]	Clobetasol propionate
[('Clobetasol propionate', 5.0, 'uM')]	Clobetasol propionate
[('Clofarabine', 0.05, 'uM')]	Clofarabine
[('Clofarabine', 0.5, 'uM')]	Clofarabine
[('Clofarabine', 5.0, 'uM')]	Clofarabine
[('Clonidine (hydrochloride)', 0.05, 'uM')]	Clonidine (hydrochloride)
